g_dict=`
a|неопределенный артикль
absorbing|впитывающий;всасывающий;всепоглощающий;амортизирующий(техн);смягчающий(удар)
absorbing-capacity|поглощающая способность
absorbing-layer|поглощающий слой
absorbing-power|поглощающая способность
absorption|всасывание;впитывание;погруженность(в мысли,работу);поглощение;включение в число членов
absorption-coefficient|коэффициент поглощения
absorption-function|функция поглощения
absorption-spectrum|спектр поглощения
absorptive|поглощающий;абсорбирующий;амортизирующий;смягчающий
absorptivity|поглощательная способность
abstain|воздерживаться;не голосовать
abstainer|непьющий;трезвенник;воздержавшийся(при голосовании)
abstemious|воздержанный;умеренный(в пище,питье);отрегулированный;сдержанный;скромный;бережливый;сберегательный;экономный
abstention|воздержание;воздержанность(в еде);неучастие в голосовании;неявка(на выборы)
abstergent|моющий;очищающий;моющее средство(мыло,порошок)
abstersion|очищение;промывание
abstinent|умеренный;воздержанный;трезвый;непьющий
abstract|(сущ)(æb'strækt-гл)абстракция;отвлеченное понятие;отвлеченный термин;конспект;резюме;извлечение(из книги);документ о правовом титуле;выписка;выдержка издокумента;произведение абстрактного искусства;абстрактный;отвлеченный;спекулятивный;умозрительный;трудный для понимания;малопонятный;неясный;теоретический;отнимать;извлекать;абстрагировать(ся);рассматривать отвлеченно;резюмировать;суммировать;обобщать;реферировать;складывать;красть
abstract-behavior|абстрактное поведение
abstract-of-account|выписка из счета
abstract-of-evidence|краткое изложение доказательств
abstract-of-record|выписка из протокола дела
abstracted|погруженный в мысли;отдаленный;удаленный
abstractedly|рассеянно;абстрактно;отвлеченно;отдельно
abstraction|абстракция;обобщение;рассеянность;погруженность в мысли;задумчивость;произведения абстрактного искусства;абстракционизм;отвод;вывод;обход;отведение;отделение
abstruse|глубокомысленный;серьезный;трудный для понимания;скрытый;тайный(о мыслях)
absurd|нелепый;абсурдный;глупый;смехотворный;самопротиворечащий;абсурдистский;абсурд;абсурдность
absurdist|абсурдист
absurdist-theatre|театр абсурда
absurdity|нелепость;абсурд;нелепое утверждение(поступок);вздор;глупость
absurdly|нелепо;глупо;до смешного
abundance|изобилие;избыток;богатство;благополучие;благосостояние;достаток;масса;множество;совокупность
abundant|изобильный
abuse|(сущ)(ə'bju:z-гл)оскорбление;плохое(жестокое)обращение;злоупотребление;нападки;неправильное употребление или использование;нападение;избиение;изнасилование;совращение малолетних;эксплуатация с нарушением установленных режимов(техн);оскорблять;ругать;бесчестить;поносить;мучить;портить;неосторожно пользоваться чем-либо;злоупотреблять
abuse-of-authority|злоупотребление властью
abuse-of-confidence|злоупотребление доверием
abuse-of-corpse|надругательство над трупом
abuse-of-environment|загрязнение окружающей среды
abuse-of-law|злоупотребление законом
abuse-of-office|должностное злоупотребление
abuse-of-power|превышение власти;злоупотребление властью
abusive|бранный;оскорбительный;жестокий;негуманный;оскорбляющий;готовый оскорбить,обидеть;злоупотребляющий чем-либо в личных интересах;коррумпированный;вводящий в заблуждение
abusive-act|злоупотребление
abusive-conduct|оскорбительное поведение
abusive-language|оскорбительные выражения
abut|примыкать;граничить;упираться;опираться;соединять впритык(техн)
abutment|граница;кордон;межа;рубеж;контрфорс;пилястр;торец;упор;опора;пята(техн)
abutment-pier|опора;бык моста(ж.-д)
abuttal|межа;граница
abuzz|гудящий;жужжащий;активный;деятельный;энергичный
abysm|бездна;пропасть;пучина
abysmal|бездонный;глубокий;ужасный;страшный
abyss|бездна;пропасть;пучина;первозданный хаос
abyssal|глубинный;глубоководный;изверженный;магматический(геол)
acacia|акация(бот)
